N,M,expertiseMean,expertiseSpread,expertiseSkew,entrantExpertiseMean,entrantExpertiseSpread,entrantExpertiseFloor,graphAttachment,transferRate,decayRate,learningRateSpread,personalLearningRate,mobilityMode,jumpProbability,competitionAversion,prestigeWeight,baseMoveProb,turnoverRate,learningCap,seniorTenureYears,aptitudeMean,aptitudeSpread,teachTopN,aboveMeanDrag,criticalMass,criticalMassSharpness,aiEnabled,aiLevelFraction,aiDampeningBelow,aiDampeningAbove,graphSource,institutionSizing,candidateCap,worldModelFingerprint,comboIndex,arm,t,meanE_mean,meanE_std,p10E_mean,p10E_std,p50E_mean,p50E_std,p90E_mean,p90E_std,divergence_mean,divergence_std,topE_mean,topE_std,aiLevel_mean,aiLevel_std,shareBelowAI_mean,shareBelowAI_std,shareExpert_mean,shareExpert_std,minOccupancy_mean,minOccupancy_std,emptyInstitutions_mean,emptyInstitutions_std,underOccupiedInstitutions_mean,underOccupiedInstitutions_std,n
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.206,0.0225,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,true,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,300,treatment,120,0.4831926218047738,0,0.1945,0,0.5235,0,0.6355,0,0.017590131392172054,0,0.8876445889472961,0,0.585,0,0.75,0,0.25,0,0,0,57,0,206,0,1
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.206,0.0225,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,false,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,300,baseline,120,0.4990034056951602,0,0.2435,0,0.5425,0,0.6535,0,0.01539038226985469,0,0.8361091613769531,0,,,,,0.3466666666666667,0,0,0,34,0,210,0,1
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.206,0.02425,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,true,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,301,treatment,120,0.459758193710198,0,0.1775,0,0.5025,0,0.6205,0,0.022411903999930996,0,0.8938143849372864,0,0.585,0,0.8083333333333333,0,0.19166666666666668,0,0,0,52,0,207,0,1
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.206,0.02425,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,false,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,301,baseline,120,0.4871243716528018,0,0.2065,0,0.5365,0,0.6375,0,0.01812873826871545,0,0.8938143849372864,0,,,,,0.31,0,0,0,47,0,209,0,1
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.206,0.026,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,true,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,302,treatment,120,0.48125675074756147,0,0.2125,0,0.5175,0,0.6335,0,0.015127791447658266,0,0.8498045206069946,0,0.585,0,0.78,0,0.22,0,0,0,53,0,213,0,1
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.206,0.026,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,false,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,302,baseline,120,0.5040600275186201,0,0.2515,0,0.5475,0,0.6515,0,0.017840063875232393,0,0.8509261012077332,0,,,,,0.31,0,0,0,56,0,214,0,1
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.206,0.02775,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,true,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,303,treatment,120,0.47936497380336124,0,0.2225,0,0.5135,0,0.6425,0,0.016692658520811057,0,0.9172463417053223,0,0.585,0,0.7433333333333333,0,0.25666666666666665,0,0,0,46,0,211,0,1
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.206,0.02775,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,false,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,303,baseline,120,0.5007918046849469,0,0.2455,0,0.5415,0,0.6515,0,0.016374143728448264,0,0.9213290810585022,0,,,,,0.3416666666666667,0,0,0,52,0,210,0,1
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.206,0.0295,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,true,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,304,treatment,120,0.4666799792274833,0,0.1985,0,0.4995,0,0.6245,0,0.01636365437045304,0,0.8294193148612976,0,0.585,0,0.7866666666666666,0,0.21333333333333335,0,0,0,53,0,208,0,1
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.206,0.0295,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,false,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,304,baseline,120,0.47995761457830666,0,0.1985,0,0.5195,0,0.6325,0,0.0190936137478637,0,0.8301737308502197,0,,,,,0.265,0,0,0,50,0,210,0,1
