N,M,expertiseMean,expertiseSpread,expertiseSkew,entrantExpertiseMean,entrantExpertiseSpread,entrantExpertiseFloor,graphAttachment,transferRate,decayRate,learningRateSpread,personalLearningRate,mobilityMode,jumpProbability,competitionAversion,prestigeWeight,baseMoveProb,turnoverRate,learningCap,seniorTenureYears,aptitudeMean,aptitudeSpread,teachTopN,aboveMeanDrag,criticalMass,criticalMassSharpness,aiLevelFraction,aiDampeningBelow,aiDampeningAbove,graphSource,institutionSizing,candidateCap,worldModelFingerprint,comboIndex,replicate,t,meanE_baseline,meanE_treatment,meanE_shortfall,shareExpert_baseline,shareExpert_treatment,shareExpert_shortfall
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.098,0.02425,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,49,0,120,0.5100920799995462,0.4906814101773004,0.01941066982224582,0.355,0.27666666666666667,0.07833333333333331
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.098,0.026,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,50,0,120,0.4908428051136434,0.45936991612737377,0.031472888986269654,0.29333333333333333,0.19166666666666668,0.10166666666666666
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.098,0.02775,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,51,0,120,0.49190905729308726,0.47222374061122535,0.01968531668186191,0.25,0.23666666666666666,0.013333333333333336
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.098,0.0295,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,52,0,120,0.4872646535622577,0.46095098059003553,0.026313672972222146,0.245,0.15166666666666667,0.09333333333333332
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.098,0.03125,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,53,0,120,0.49707481410354376,0.4798333271158238,0.017241486987719934,0.34,0.21,0.13000000000000003
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.098,0.033,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,54,0,120,0.4908960208358864,0.4701557746777932,0.020740246158093223,0.2633333333333333,0.20666666666666667,0.05666666666666664
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.098,0.03475,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,55,0,120,0.4806795774710675,0.4566961211152375,0.02398345635582999,0.21666666666666667,0.15166666666666667,0.065
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.098,0.0365,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,56,0,120,0.47829102852692207,0.46013921008134884,0.01815181844557323,0.18833333333333332,0.13666666666666666,0.051666666666666666
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.098,0.03825,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,57,0,120,0.47506251390402515,0.4581618318458398,0.016900682058185346,0.21333333333333335,0.12,0.09333333333333335
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.098,0.04,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,58,0,120,0.4779521096435686,0.4594283930088083,0.018523716634760323,0.22,0.12833333333333333,0.09166666666666667
